lr,rv,,,,,,,,,,,,,,,,,,,,,
-0.194486233,0.074045365,,,,,,,,,,,,,,,,,,,,,
-0.318670875,0.245114521,,,,,,,,,,,,,,,,,,,,,
-0.15387816,0.172245318,,,,,,,,,,,,,,,,,,,,,
0.01459577,0.003666898,,,,,,,,,,,,,,,,,,,,,
0.279826457,0.042576852,,,,,,,,,,,,,,,,,,,,,
0.36971304,0.082625444,,,,,,,,,,,,,,,,,,,,,
0.429731682,0.136007169,,,,,,,,,,,,,,,,,,,,,
0.246586134,0.067304363,,,,,,,,,,,,,,,,,,,,,
-0.01584398,0.050529247,,,,,,,,,,,,,,,,,,,,,
-0.26901027,0.05396466,,,,,,,,,,,,,,,,,,,,,
-0.227745241,0.077779923,,,,,,,,,,,,,,,,,,,,,
-0.032577417,0.08217659,,,,,,,,,,,,,,,,,,,,,
0.091913434,0.086205121,,,,,,,,,,,,,,,,,,,,,
-0.095533802,0.057152354,,,,,,,,,,,,,,,,,,,,,
-0.020276484,0.013080528,,,,,,,,,,,,,,,,,,,,,
0.04634021,0.005263503,,,,,,,,,,,,,,,,,,,,,
-0.163009849,0.024701685,,,,,,,,,,,,,,,,,,,,,
0.110875602,0.054197036,,,,,,,,,,,,,,,,,,,,,
0.073125087,0.107729058,,,,,,,,,,,,,,,,,,,,,
0.096211934,0.086939149,,,,,,,,,,,,,,,,,,,,,
0.018797536,0.037222186,,,,,,,,,,,,,,,,,,,,,
0.044088047,0.007708765,,,,,,,,,,,,,,,,,,,,,
0.092449484,0.069171751,,,,,,,,,,,,,,,,,,,,,
-0.280501037,0.09514645,,,,,,,,,,,,,,,,,,,,,
0.396663923,0.124886943,,,,,,,,,,,,,,,,,,,,,
0.014420754,0.026277265,,,,,,,,,,,,,,,,,,,,,
0.005046773,0.133196566,,,,,,,,,,,,,,,,,,,,,
0.007930128,0.009321665,,,,,,,,,,,,,,,,,,,,,
0.020903688,0.02797663,,,,,,,,,,,,,,,,,,,,,
